Ticker,Company,Price,Stage,Score,RS,12m%,50MA,150MA,200MA,52W High,52W Low,% from High,New 52W High,Notes,AI Notes
1303.SR,"صناعات كهربائية",15.75,stage2,9,93,122.1,16.98,14.28,13.34,19.90,7.09,-20.9,,"Textbook Stage 2 (9/10) | Missing: Price > 50MA",""
2040.SR,"الخزف السعودي",27.60,stage1,3,43,6.4,28.75,27.98,28.55,34.64,25.60,-20.3,,"Weak / declining (3/10)",""
2110.SR,"الكابلات السعودية",155.20,stage2,9,73,20.5,153.3,151.78,150.81,175.90,128.80,-11.8,,"Textbook Stage 2 (9/10) | Missing: 25%+ above 52W low",""
2160.SR,"أميانتيت",13.60,stage4,0,14,-29.5,14.56,15.12,16.42,23.60,12.40,-42.4,,"Weak / declining (0/10)",""
2320.SR,"البابطين",68.90,stage2,10,82,42.6,66.66,66.06,64.32,72.00,48.30,-4.3,,"Textbook Stage 2 (10/10)",""
2370.SR,"مسك",33.26,potential,8,95,7.6,30.91,25.19,26.38,35.20,19.75,-5.5,,"Strong Stage 2 (8/10) | Missing: 150MA > 200MA, 200MA trending up",""
4110.SR,"باتك",2.18,stage1,5,59,5.3,2.21,2.11,2.14,2.57,1.91,-15.2,,"Basing (5/10)",""
4140.SR,"صادرات",2.32,potential,7,66,15.4,2.33,2.31,2.25,2.98,1.88,-22.1,,"Near Stage 2 (7/10) | Missing: Price > 50MA, 25%+ above 52W low, RS Rating ≥ 70 (66)",""
4141.SR,"العمران",20.63,stage4,0,12,-20.2,21.32,23.36,24.9,33.70,20.22,-38.8,,"Weak / declining (0/10)",""
4142.SR,"كابلات الرياض",115.40,stage4,1,26,-10.8,120.71,123.47,125.15,147.70,110.80,-21.9,,"Weak / declining (1/10)",""
4143.SR,"تالكو",36.38,potential,6,56,-8.8,35.39,34.63,36.19,45.62,29.00,-20.3,,"Near Stage 2 (6/10) | Missing: 150MA > 200MA, 200MA trending up, 50MA > 200MA, RS Rating ≥ 70 (56)",""
4144.SR,"رؤوم",70.20,stage2,9,80,10.9,72.72,64.01,63.2,78.90,54.65,-11.0,,"Textbook Stage 2 (9/10) | Missing: Price > 50MA",""
4145.SR,"أو جي سي",23.54,stage4,0,21,-22.3,25.07,25.46,26.94,39.00,23.05,-39.6,,"Weak / declining (0/10)",""
4146.SR,"جاز",14.55,stage1,4,54,-3.9,14.47,14.21,14.94,18.24,12.06,-20.2,,"Basing (4/10)",""
4147.SR,"سي جي إس",7.64,stage1,1,0,0.0,7.57,,,10.95,6.70,-30.2,,"Weak / declining (1/10)",""
4148.SR,"الوسائل الصناعية",2.64,stage4,0,25,-15.9,2.82,3.1,3.23,4.13,2.50,-36.1,,"Weak / declining (0/10)",""
1831.SR,"مهارة",6.57,stage2,10,83,38.9,6.22,6.07,5.81,6.91,4.46,-4.9,,"Textbook Stage 2 (10/10)",""
1832.SR,"صدر",2.73,stage1,3,57,-1.8,2.69,2.7,2.76,3.17,2.45,-13.9,,"Weak / declining (3/10)",""
1833.SR,"الموارد",97.45,stage3,6,75,-2.5,89.63,91.75,92.62,111.53,75.45,-12.6,,"Near Stage 2 (6/10) | Missing: 150MA > 200MA, 200MA trending up, 50MA > 150MA, 50MA > 200MA",""
1834.SR,"سماسكو",6.47,potential,8,77,12.7,5.8,5.57,5.66,6.56,5.08,-1.4,NEAR HIGH,"Strong Stage 2 (8/10) | Missing: 150MA > 200MA, 200MA trending up",""
1835.SR,"تمكين",45.50,stage1,1,29,-7.2,44.97,49.36,51.62,62.90,43.54,-27.7,,"Weak / declining (1/10)",""
4270.SR,"طباعة وتغليف",7.18,stage4,0,12,-28.9,7.63,7.86,8.56,13.87,6.73,-48.2,,"Weak / declining (0/10)",""
6004.SR,"كاتريون",75.80,stage1,1,16,-30.6,72.32,76.61,81.68,126.40,69.05,-40.0,,"Weak / declining (1/10)",""
2190.SR,"سيسكو القابضة",35.50,potential,8,88,28.2,33.89,31.56,32.34,38.38,26.08,-7.5,,"Strong Stage 2 (8/10) | Missing: 150MA > 200MA, 200MA trending up",""
